,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
0,171577,002107.XSHE,2020-12-31,2021-01-21,2020-12-31,0.31,168985174.22,214406045.46,6929257.58,24.1832,22.8454,15.6699,18.5199,77.834,78.689,22.1256,18.5199,46.7677,3.8212,-0.4367,97.2581,3.1432,94.4683,107.0729,19.539,91.6849,16.9467,,16.9467,,99.7706,,91.6117,,86.7198,
1,171578,300617.XSHE,2020-12-31,2021-01-27,2020-12-31,1.04,114733309.1,153740491.04,11572105.75,15.1237,13.1084,12.0597,25.4533,52.8861,70.9245,30.8588,25.4533,6.6108,9.9075,0.6674,95.0556,7.1549,86.6749,89.9366,5.8692,20.1861,66.2652,,66.2652,,115.9822,,108.8248,,108.0783,
2,171579,002072.XSHE,2020-12-31,2021-01-30,2020-12-31,-1.1505,-199733566.73,4746487.42,-1220018.75,,,-40.2322,-763.1214,91.3406,82.098,-735.0383,-763.1214,0.8057,22.7511,48.4644,,,,119.9462,23.7621,132.734,72.9901,,72.9901,,-902.6573,,-2468.8934,,-2470.7102,
3,171580,000001.XSHE,2020-12-31,2021-02-02,2020-12-31,1.4,28840000000.0,26609000000.0,10069000000.0,8.5445,8.5185,0.6881,18.8404,,,24.0384,18.8404,,29.105999999999998,,72.3976,27.3957,99.6958,,-10.5255,-60.7351,11.2962,,11.2962,,1.7085,,2.5998,,2.5998,
4,171581,002984.XSHE,2020-12-31,2021-02-02,2020-12-31,1.64,1032878219.28,1081339672.24,-33649851.88,21.4094,22.5519,13.8663,20.839000000000002,33.7998,77.0191,22.2874,20.839000000000002,2.8584,3.5285,2.1599,107.1284,-3.3337,105.3363,100.3422,35.7246,155.4534,2.7619,,2.7619,,33.7286,,32.3773,,32.3773,
5,171582,600315.XSHG,2020-12-31,2021-02-03,2020-12-31,0.64,395827946.3,326810771.49,199290589.83,6.7298,6.1921,3.8338,6.1174,59.9544,95.3528,7.5899,6.1174,41.5838,10.247,0.6157,61.203,37.3218,92.0099,115.28299999999999,9.1496,196.8829,-7.4315,,-7.4315,,-23.7734,,-22.7772,,-22.7772,
6,171583,000690.XSHE,2020-12-31,2021-02-03,2020-12-31,0.84,1696968887.17,2270755959.6,52851336.18,17.8234,16.6381,9.4958,25.3903,41.9882,68.2841,32.0772,25.3903,0.1406,5.0055,4.1462,98.6977,2.2972,93.3497,111.3578,49.1326,154.9145,27.2418,,27.2418,,103.4646,,105.8378,,105.83,
7,171584,600885.XSHG,2020-12-31,2021-02-03,2020-12-31,1.12,693721595.51,1158566627.34,84290652.02,15.9246,13.2757,10.7343,14.4424,36.9542,85.1828,16.6925,14.4424,5.0313,10.3437,1.0675,88.9582,6.4721,83.3656,96.2744,9.203,62.1103,10.4155,,10.4155,,14.6101,,17.1139,,18.1931,
8,171585,600301.XSHG,2020-12-31,2021-02-04,2020-12-31,0.04,5416981.08,6085436.31,-399700.0,2.7708,1.6541,2.3457,1.2457,2.0646,99.1646,1.315,1.2457,0.0451,1.3812,-0.2523,67.0644,-4.4049,59.6977,112.0998,24.4746,2929.5814,8.9591,,8.9591,,47.277,,39.521,,39.521,
9,171586,601318.XSHG,2020-12-31,2021-02-04,2020-12-31,8.1,143540000000.0,66154000000.0,122150000000.0,19.9341,19.9955,1.7955,13.0803,,,15.4561,13.0803,,14.4914,,35.2325,65.0551,100.3082,,25.6153,471.7402,4.2304,,4.2304,,1.7705,,-3.0457,,-4.2219999999999995,
10,171587,000803.XSHE,2020-12-31,2021-02-04,2020-12-31,0.29,11528527.55,37977596.9,433380.68,18.5102,4.7282,4.66,14.7862,39.7094,89.0517,11.5477,14.7862,1.5498,22.8927,2.807,56.3034,0.6425,25.544,86.1328,-28.7116,-262.2472,1374.263,,1374.263,,115.165,,125.8639,,126.2495,
11,171588,601218.XSHG,2020-12-31,2021-02-05,2020-12-31,0.2397,230810260.72,322941884.12,12592166.24,8.9548,8.841000000000001,5.3583,11.4352,25.61,84.2373,13.3223,11.4352,0.7257,2.9166,2.129,118.3028,4.6129,98.7295,91.3045,35.621,225.9829,36.8641,,36.8641,,298.7135,,261.0638,,257.4814,
12,171589,002188.XSHE,2020-12-31,2021-02-06,2020-12-31,-0.39,-25110121.36,-18283749.78,,,,-135.3721,-863.3523,16.2028,238.6593,-186.4233,-863.3523,0.8915,130.1853,17.1451,,,,50.4983,-118.0503,,-38.0179,,-38.0179,,46.0265,,-122.0698,,-122.0698,
13,171590,000798.XSHE,2020-12-31,2021-02-06,2020-12-31,-0.48200000000000004,-158255357.59,-189876905.28,7760279.31,-22.4309,-23.0559,-13.8542,-35.246,-19.6065,142.6415,-36.1656,-35.246,3.5784,14.1907,4.3821,,,,98.3592,-14.1234,,-23.0499,,-23.0499,,-476.0802,,-871.1766,,-784.9849,
14,171591,300443.XSHE,2020-12-31,2021-02-08,2020-12-31,2.16,456444909.1,537949077.28,71932088.98,21.5559,18.8405,19.5355,35.3682,44.681999999999995,63.5673,41.1459,35.3682,0.3836,3.0775,0.521,88.1716,11.7899,87.4029,81.0754,11.1785,30.6826,31.3661,,31.3661,,159.9426,,154.5002,,154.5002,
